lat;lon;tx_time;tx_node_id
None;None;17206;70B3D54993883B0C
None;None;30646;70B3D54993883B0C
None;None;10541;70B3D54993883B0C
None;None;42714;70B3D54993883B0C
None;None;57484;70B3D54993883B0C
None;None;64732;70B3D54993883B0C
None;None;67973;70B3D54993883B0C
None;None;85727;70B3D54993883B0C
None;None;35877;70B3D54993883B0C
None;None;77235;70B3D54993883B0C
None;None;80745;70B3D54993883B0C
None;None;107633;70B3D54993883B0C
None;None;119684;70B3D54993883B0C
13.38653;99.27025;143738;70B3D54993883B0C
13.38666;99.27033;182278;70B3D54993883B0C
13.38623;99.27024;215200;70B3D54993883B0C
13.38621;99.27022;217902;70B3D54993883B0C
13.38621;99.2702;219916;70B3D54993883B0C
13.38619;99.27018;221751;70B3D54993883B0C
13.38619;99.27016;223545;70B3D54993883B0C
13.38585;99.27002;254501;70B3D54993883B0C
13.38584;99.27004;256235;70B3D54993883B0C
13.38583;99.27004;258211;70B3D54993883B0C
13.38581;99.27005;259962;70B3D54993883B0C
13.3858;99.27005;261625;70B3D54993883B0C
13.38618;99.27002;299084;70B3D54993883B0C
13.38618;99.27004;300714;70B3D54993883B0C
13.38618;99.27004;302910;70B3D54993883B0C
13.38617;99.27005;304617;70B3D54993883B0C
13.38617;99.27005;306360;70B3D54993883B0C
13.38646;99.27012;352480;70B3D54993883B0C
13.38649;99.27011;354381;70B3D54993883B0C
13.38651;99.27011;356151;70B3D54993883B0C
13.38652;99.27011;357828;70B3D54993883B0C
13.38653;99.27011;359576;70B3D54993883B0C
13.38702;99.27018;404638;70B3D54993883B0C
13.38703;99.27018;406356;70B3D54993883B0C
13.38702;99.2702;408007;70B3D54993883B0C
13.38702;99.27022;409636;70B3D54993883B0C
13.38702;99.27022;411275;70B3D54993883B0C
13.38644;99.27024;474842;70B3D54993883B0C
13.38643;99.27032;486631;70B3D54993883B0C
13.38644;99.27032;489267;70B3D54993883B0C
13.38644;99.27032;491512;70B3D54993883B0C
13.38644;99.27032;493644;70B3D54993883B0C
13.38629;99.27018;598501;70B3D54993883B0C
13.38629;99.27018;601112;70B3D54993883B0C
13.38631;99.27015;604194;70B3D54993883B0C
13.38635;99.27022;686083;70B3D54993883B0C
13.38634;99.27022;687780;70B3D54993883B0C
13.38633;99.27024;689676;70B3D54993883B0C
13.38633;99.27024;691526;70B3D54993883B0C
13.38633;99.27024;693234;70B3D54993883B0C
13.38669;99.27047;1757584;70B3D54993883B0C
13.38669;99.27052;1760233;70B3D54993883B0C
13.38669;99.27052;1762377;70B3D54993883B0C
13.38669;99.27052;1764746;70B3D54993883B0C
13.38669;99.27052;1766875;70B3D54993883B0C
13.38671;99.27082;2281296;70B3D54993883B0C
13.38671;99.27084;2283605;70B3D54993883B0C
13.38671;99.27085;2285772;70B3D54993883B0C
13.38669;99.27082;2288208;70B3D54993883B0C
13.38669;99.27082;2290213;70B3D54993883B0C
13.38621;99.27073;2424222;70B3D54993883B0C
13.38621;99.27073;2426319;70B3D54993883B0C
13.38621;99.27073;2428486;70B3D54993883B0C
13.3862;99.27082;2430540;70B3D54993883B0C
13.3862;99.27082;2432684;70B3D54993883B0C
13.38617;99.27071;2998951;70B3D54993883B0C
13.38618;99.27067;3001283;70B3D54993883B0C
13.38625;99.27067;3003341;70B3D54993883B0C
13.38625;99.27067;3005558;70B3D54993883B0C
13.38625;99.27067;3007660;70B3D54993883B0C
13.38664;99.27069;3103939;70B3D54993883B0C
13.38664;99.27069;3106097;70B3D54993883B0C
13.38665;99.27069;3108312;70B3D54993883B0C
13.38665;99.27069;3110544;70B3D54993883B0C
13.38665;99.27069;3112684;70B3D54993883B0C
None;None;27561;70B3D54993883B0C
None;None;41231;70B3D54993883B0C
None;None;60709;70B3D54993883B0C
None;None;133510;70B3D54993883B0C
None;None;18340;70B3D54993883B0C
None;None;14615;70B3D54993883B0C
None;None;9031;70B3D54993883B0C
None;None;35644;70B3D54993883B0C
None;None;51341;70B3D54993883B0C
None;None;107040;70B3D54993883B0C
None;None;139863;70B3D54993883B0C
13.39262;99.26532;174396;70B3D54993883B0C
13.39259;99.26545;213112;70B3D54993883B0C
13.39258;99.26545;215455;70B3D54993883B0C
13.39258;99.26545;217416;70B3D54993883B0C
13.39258;99.26545;219262;70B3D54993883B0C
13.39258;99.26543;221227;70B3D54993883B0C
13.39256;99.26488;279057;70B3D54993883B0C
13.39255;99.26488;280700;70B3D54993883B0C
None;None;284286;70B3D54993883B0C
13.39253;99.2649;286466;70B3D54993883B0C
